"serv_prob","recv_prob","pts_won"
0.2,0.2,0.20108
0.25,0.2,0.20937
0.3,0.2,0.22386
0.35,0.2,0.23642
0.4,0.2,0.24898
0.45,0.2,0.26648
0.5,0.2,0.29109
0.55,0.2,0.3099
0.6,0.2,0.32917
0.65,0.2,0.3619
0.7,0.2,0.39853
0.75,0.2,0.4481
0.8,0.2,0.49602
0.2,0.25,0.23848
0.25,0.25,0.24861
0.3,0.25,0.26204
0.35,0.25,0.27951
0.4,0.25,0.2904
0.45,0.25,0.31471
0.5,0.25,0.33451
0.55,0.25,0.36009
0.6,0.25,0.38567
0.65,0.25,0.41525
0.7,0.25,0.45793
0.75,0.25,0.50192
0.8,0.25,0.55793
0.2,0.3,0.27373
0.25,0.3,0.28645
0.3,0.3,0.30116
0.35,0.3,0.31613
0.4,0.3,0.33198
0.45,0.3,0.3509
0.5,0.3,0.37547
0.55,0.3,0.39566
0.6,0.3,0.4279
0.65,0.3,0.4592
0.7,0.3,0.49955
0.75,0.3,0.54032
0.8,0.3,0.59726
0.2,0.35,0.30622
0.25,0.35,0.31897
0.3,0.35,0.3342
0.35,0.35,0.34858
0.4,0.35,0.36734
0.45,0.35,0.38607
0.5,0.35,0.41438
0.55,0.35,0.43734
0.6,0.35,0.4683
0.65,0.35,0.49961
0.7,0.35,0.54041
0.75,0.35,0.58769
0.8,0.35,0.63877
0.2,0.4,0.33188
0.25,0.4,0.34662
0.3,0.4,0.36317
0.35,0.4,0.38048
0.4,0.4,0.40055
0.45,0.4,0.42078
0.5,0.4,0.44434
0.55,0.4,0.46992
0.6,0.4,0.50303
0.65,0.4,0.53338
0.7,0.4,0.57361
0.75,0.4,0.61511
0.8,0.4,0.6669
0.2,0.45,0.3592
0.25,0.45,0.37478
0.3,0.45,0.3902
0.35,0.45,0.409
0.4,0.45,0.4277
0.45,0.45,0.44841
0.5,0.45,0.47358
0.55,0.45,0.49934
0.6,0.45,0.53097
0.65,0.45,0.56112
0.7,0.45,0.59653
0.75,0.45,0.64415
0.8,0.45,0.69199
0.2,0.5,0.38249
0.25,0.5,0.39846
0.3,0.5,0.41792
0.35,0.5,0.43649
0.4,0.5,0.45606
0.45,0.5,0.47414
0.5,0.5,0.49897
0.55,0.5,0.52586
0.6,0.5,0.55302
0.65,0.5,0.58893
0.7,0.5,0.62466
0.75,0.5,0.66831
0.8,0.5,0.71357
0.2,0.55,0.4087
0.25,0.55,0.42265
0.3,0.55,0.43943
0.35,0.55,0.45873
0.4,0.55,0.47681
0.45,0.55,0.49965
0.5,0.55,0.52433
0.55,0.55,0.54941
0.6,0.55,0.58058
0.65,0.55,0.61153
0.7,0.55,0.64525
0.75,0.55,0.68615
0.8,0.55,0.7336
0.2,0.6,0.42776
0.25,0.6,0.44619
0.3,0.6,0.4644
0.35,0.6,0.48129
0.4,0.6,0.4999
0.45,0.6,0.52032
0.5,0.6,0.54579
0.55,0.6,0.57077
0.6,0.6,0.59717
0.65,0.6,0.63066
0.7,0.6,0.6653
0.75,0.6,0.70635
0.8,0.6,0.74934
0.2,0.65,0.44949
0.25,0.65,0.46333
0.3,0.65,0.48089
0.35,0.65,0.49929
0.4,0.65,0.52199
0.45,0.65,0.54338
0.5,0.65,0.56661
0.55,0.65,0.59125
0.6,0.65,0.61913
0.65,0.65,0.64887
0.7,0.65,0.6836
0.75,0.65,0.72013
0.8,0.65,0.76525
0.2,0.7,0.4675
0.25,0.7,0.48317
0.3,0.7,0.50025
0.35,0.7,0.51832
0.4,0.7,0.53874
0.45,0.7,0.55839
0.5,0.7,0.58202
0.55,0.7,0.60713
0.6,0.7,0.63885
0.65,0.7,0.66507
0.7,0.7,0.70008
0.75,0.7,0.7375
0.8,0.7,0.77731
0.2,0.75,0.48464
0.25,0.75,0.50047
0.3,0.75,0.51721
0.35,0.75,0.53618
0.4,0.75,0.55474
0.45,0.75,0.5768
0.5,0.75,0.59964
0.55,0.75,0.62536
0.6,0.75,0.65262
0.65,0.75,0.68139
0.7,0.75,0.71175
0.75,0.75,0.75197
0.8,0.75,0.78855
0.2,0.8,0.49974
0.25,0.8,0.5165
0.3,0.8,0.5326
0.35,0.8,0.5526
0.4,0.8,0.57113
0.45,0.8,0.59172
0.5,0.8,0.61563
0.55,0.8,0.63884
0.6,0.8,0.66517
0.65,0.8,0.69486
0.7,0.8,0.72718
0.75,0.8,0.76059
0.8,0.8,0.79995
